Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades (nº),Ar Cond,Direção Assistida,Combustível
SUB COMPACTO,CAOA CHERY,New QQ,1.0-12V,1,0 LOOK,M-5,S,H,F
SUB COMPACTO,CAOA CHERY,New QQ,1.0-12V,1,0 LOOK PLUS,M-5,S,H,F
SUB COMPACTO,CAOA CHERY,New QQ,1.0-12V,1,0 SMILE,M-5,S,H,F
SUB COMPACTO,CAOA CHERY,New QQ,1.0-12V,1,0 SMILE PLUS,M-5,S,H,F
SUB COMPACTO,CAOA CHERY,New QQ,1.0-12V,1,0 ACT,M-5,S,H,F
SUB COMPACTO,CAOA CHERY,New QQ,1.0-12V,1,0 ACT PLUS,M-5,S,H,F
SUB COMPACTO,FIAT,500,1.4-8V,CULT,M-5,S,E,F
SUB COMPACTO,FIAT,Mobi,1.0-6V,DRIVE,M-5,S,E,F
SUB COMPACTO,FIAT,Mobi,1.0-6V,DRIVE GSR,MTA-5,S,E,F
SUB COMPACTO,FIAT,Mobi,1.0-8V,EASY,M-5,N,H,F
SUB COMPACTO,FIAT,Mobi,1.0-8V,LIKE,M-5,S,H,F
SUB COMPACTO,FIAT,Mobi,1.0-8V,WAY,M-5,S,H,F
SUB COMPACTO,FIAT,Mobi,1.0-8V,EASY,M-5,S,H,F
SUB COMPACTO,FIAT,Novo Uno,1.0-6V,DRIVE,M-5,S,E,F
SUB COMPACTO,FIAT,Novo Uno,1.0-8V,ATTRACTIVE,M-5,S,H,F
SUB COMPACTO,KIA,Picanto,1.0-12V,EX5 1,0 FF MT,M-5,S,E,F
SUB COMPACTO,KIA,Picanto,1.0-12V,LX5 1,0 FF MT,M-5,S,E,F
SUB COMPACTO,KIA,Picanto,1.0-12V,EX5 1,0 FF AT,A-4,S,E,F
SUB COMPACTO,KIA,Picanto,1.0-12V,LX5 1,0 FF AT,A-4,S,E,F
SUB COMPACTO,RENAULT,Twizy,Elétrico,Intense,AUT,N,M,E
